PING 10.0.2.22 (10.0.2.22) 56(84) bytes of data.
64 bytes from 10.0.2.22: icmp_seq=453 ttl=63 time=4063 ms
64 bytes from 10.0.2.22: icmp_seq=454 ttl=63 time=3962 ms
64 bytes from 10.0.2.22: icmp_seq=455 ttl=63 time=3861 ms
64 bytes from 10.0.2.22: icmp_seq=456 ttl=63 time=3761 ms
64 bytes from 10.0.2.22: icmp_seq=457 ttl=63 time=3658 ms
64 bytes from 10.0.2.22: icmp_seq=458 ttl=63 time=3559 ms
64 bytes from 10.0.2.22: icmp_seq=459 ttl=63 time=3455 ms
64 bytes from 10.0.2.22: icmp_seq=460 ttl=63 time=3352 ms
64 bytes from 10.0.2.22: icmp_seq=461 ttl=63 time=3251 ms
64 bytes from 10.0.2.22: icmp_seq=462 ttl=63 time=3151 ms
64 bytes from 10.0.2.22: icmp_seq=463 ttl=63 time=3049 ms
64 bytes from 10.0.2.22: icmp_seq=464 ttl=63 time=2947 ms
64 bytes from 10.0.2.22: icmp_seq=465 ttl=63 time=2844 ms
64 bytes from 10.0.2.22: icmp_seq=466 ttl=63 time=2744 ms
64 bytes from 10.0.2.22: icmp_seq=467 ttl=63 time=2644 ms
64 bytes from 10.0.2.22: icmp_seq=468 ttl=63 time=2544 ms
64 bytes from 10.0.2.22: icmp_seq=469 ttl=63 time=2442 ms
64 bytes from 10.0.2.22: icmp_seq=470 ttl=63 time=2340 ms
64 bytes from 10.0.2.22: icmp_seq=471 ttl=63 time=2237 ms
64 bytes from 10.0.2.22: icmp_seq=472 ttl=63 time=2139 ms
64 bytes from 10.0.2.22: icmp_seq=473 ttl=63 time=2038 ms
64 bytes from 10.0.2.22: icmp_seq=474 ttl=63 time=1936 ms
64 bytes from 10.0.2.22: icmp_seq=475 ttl=63 time=1834 ms
64 bytes from 10.0.2.22: icmp_seq=476 ttl=63 time=1734 ms
64 bytes from 10.0.2.22: icmp_seq=477 ttl=63 time=1631 ms
64 bytes from 10.0.2.22: icmp_seq=478 ttl=63 time=1529 ms
64 bytes from 10.0.2.22: icmp_seq=479 ttl=63 time=1430 ms
64 bytes from 10.0.2.22: icmp_seq=480 ttl=63 time=1328 ms
64 bytes from 10.0.2.22: icmp_seq=481 ttl=63 time=1226 ms
64 bytes from 10.0.2.22: icmp_seq=482 ttl=63 time=1126 ms
64 bytes from 10.0.2.22: icmp_seq=483 ttl=63 time=1022 ms
64 bytes from 10.0.2.22: icmp_seq=484 ttl=63 time=920 ms
64 bytes from 10.0.2.22: icmp_seq=485 ttl=63 time=820 ms
64 bytes from 10.0.2.22: icmp_seq=486 ttl=63 time=719 ms
64 bytes from 10.0.2.22: icmp_seq=487 ttl=63 time=617 ms
64 bytes from 10.0.2.22: icmp_seq=488 ttl=63 time=519 ms
64 bytes from 10.0.2.22: icmp_seq=489 ttl=63 time=417 ms
64 bytes from 10.0.2.22: icmp_seq=490 ttl=63 time=379 ms
64 bytes from 10.0.2.22: icmp_seq=491 ttl=63 time=386 ms
64 bytes from 10.0.2.22: icmp_seq=492 ttl=63 time=394 ms
64 bytes from 10.0.2.22: icmp_seq=493 ttl=63 time=389 ms
64 bytes from 10.0.2.22: icmp_seq=494 ttl=63 time=385 ms
64 bytes from 10.0.2.22: icmp_seq=495 ttl=63 time=363 ms
64 bytes from 10.0.2.22: icmp_seq=496 ttl=63 time=345 ms
64 bytes from 10.0.2.22: icmp_seq=497 ttl=63 time=334 ms
64 bytes from 10.0.2.22: icmp_seq=498 ttl=63 time=345 ms
64 bytes from 10.0.2.22: icmp_seq=499 ttl=63 time=350 ms
